id,source,matching,destination,type,category,status,ignore
,/de/verwendung-des-p10-grafikdisplays/,exact,/blog/verwendung-des-p10-grafikdisplays/,301,blog-migration,active,
,/p10-grafik-ekran-kullanimi/,exact,/blog/p10-grafik-ekran-kullanimi/,301,blog-migration,active,
,/de/p10-panel-4-2/,exact,/blog/p10-panel-4-2/,301,blog-migration,active,
,/p10-panel/,exact,/blog/p10-panel/,301,blog-migration,active,
,/de/led-ekran/,exact,/blog/led-ekran/,301,blog-migration,active,
,/de/led-ekran-10/,exact,/blog/led-ekran-10/,301,blog-migration,active,
,/de/led-anzeige/,exact,/blog/led-anzeige/,301,blog-migration,active,
,/de/p10-panel-3/,exact,/blog/p10-panel-3/,301,blog-migration,active,
,/de/p10-panel-2-2/,exact,/blog/p10-panel-2-2/,301,blog-migration,active,
,/de/p10-panel-5/,exact,/blog/p10-panel-5/,301,blog-migration,active,
,/de/hd-c10/,exact,/blog/hd-c10/,301,blog-migration,active,
,/led/,exact,/blog/led/,301,blog-migration,active,
,/led-2/,exact,/blog/led-2/,301,blog-migration,active,
,/de/gefuehrt/,exact,/blog/gefuehrt/,301,blog-migration,active,
,/de/gefuehrt-2/,exact,/blog/gefuehrt-2/,301,blog-migration,active,
,/de/gefuehrt-3/,exact,/blog/gefuehrt-3/,301,blog-migration,active,
,/p10-panel-kirmizi-5/,exact,/blog/p10-panel-kirmizi-5/,301,blog-migration,active,
,/p10-panel-beyaz/,exact,/blog/p10-panel-beyaz/,301,blog-migration,active,
,/p10-panel-kirmizi-4/,exact,/blog/p10-panel-kirmizi-4/,301,blog-migration,active,
,/led-panel/,exact,/blog/led-panel/,301,blog-migration,active,
,/led-ekran-7/,exact,/blog/led-ekran-7/,301,blog-migration,active,
,/p10-panel-kirmizi-3/,exact,/blog/p10-panel-kirmizi-3/,301,blog-migration,active,
,/led-ekran-6/,exact,/blog/led-ekran-6/,301,blog-migration,active,
,/p10-kirmizi-panel-2/,exact,/blog/p10-kirmizi-panel-2/,301,blog-migration,active,
,/led-ekran-5/,exact,/blog/led-ekran-5/,301,blog-migration,active,
,/led-ekran-2/,exact,/blog/led-ekran-2/,301,blog-migration,active,
,/led-ekran-4/,exact,/blog/led-ekran-4/,301,blog-migration,active,
,/de/led-bildschirm/,exact,/blog/led-bildschirm/,301,blog-migration,active,
,/de/p10-rotes-panel/,exact,/blog/p10-rotes-panel/,301,blog-migration,active,
,/p10-kirmizi-panel/,exact,/blog/p10-kirmizi-panel/,301,blog-migration,active,
,/ic-mekan-led-ekranlar/,exact,/blog/ic-mekan-led-ekranlar/,301,blog-migration,active,
,/dis-mekan-led-ekranlar/,exact,/blog/dis-mekan-led-ekranlar/,301,blog-migration,active,
,/p4-indoor-rgb-panel/,exact,/blog/p4-indoor-rgb-panel/,301,blog-migration,active,
,/p5-indoor-rgb-panel/,exact,/blog/p5-indoor-rgb-panel/,301,blog-migration,active,
,/p25-indoor-rgb-panel/,exact,/blog/p25-indoor-rgb-panel/,301,blog-migration,active,
,/p3-indoor-rgb-panel/,exact,/blog/p3-indoor-rgb-panel/,301,blog-migration,active,
,/p4-outdoor-rgb-panel/,exact,/blog/p4-outdoor-rgb-panel/,301,blog-migration,active,
,/p5-outdoor-rgb-panel/,exact,/blog/p5-outdoor-rgb-panel/,301,blog-migration,active,
,/p6-outdoor-rgb-panel/,exact,/blog/p6-outdoor-rgb-panel/,301,blog-migration,active,
,/p8-outdoor-rgb-panel/,exact,/blog/p8-outdoor-rgb-panel/,301,blog-migration,active,
,/p10-outdoor-rgb-panel/,exact,/blog/p10-outdoor-rgb-panel/,301,blog-migration,active,
,/p10-panel-kirmizi/,exact,/blog/p10-panel-kirmizi/,301,blog-migration,active,
,/p10-rgb-kabin/,exact,/blog/p10-rgb-kabin/,301,blog-migration,active,
,/tf-qs2n-kontrol-karti-2/,exact,/blog/tf-qs2n-kontrol-karti-2/,301,blog-migration,active,
,/pcb-nedir/,exact,/blog/pcb-nedir/,301,blog-migration,active,
,/led-nit-mcd/,exact,/blog/led-nit-mcd/,301,blog-migration,active,
,/led-led-ekran/,exact,/blog/led-led-ekran/,301,blog-migration,active,
,/led-ekran-3/,exact,/blog/led-ekran-3/,301,blog-migration,active,
,/dip-led-panel-tamiri/,exact,/blog/dip-led-panel-tamiri/,301,blog-migration,active,
,/hd-d10-kontrol-karti/,exact,/blog/hd-d10-kontrol-karti/,301,blog-migration,active,
,/hd-d30-kontrol-karti/,exact,/blog/hd-d30-kontrol-karti/,301,blog-migration,active,
,/hd-c10-kontrol-karti/,exact,/blog/hd-c10-kontrol-karti/,301,blog-migration,active,
,/hd-c10c-kontrol-karti/,exact,/blog/hd-c10c-kontrol-karti/,301,blog-migration,active,
,/hd-c30-kontrol-karti/,exact,/blog/hd-c30-kontrol-karti/,301,blog-migration,active,
,/hd-a30-kontrol-karti/,exact,/blog/hd-a30-kontrol-karti/,301,blog-migration,active,
,/hd-a601-kontrol-karti/,exact,/blog/hd-a601-kontrol-karti/,301,blog-migration,active,
,/hd-a602-kontrol-karti/,exact,/blog/hd-a602-kontrol-karti/,301,blog-migration,active,
,/hd-a603-kontrol-karti/,exact,/blog/hd-a603-kontrol-karti/,301,blog-migration,active,
,/tf-qs2-kontrol-karti/,exact,/blog/tf-qs2-kontrol-karti/,301,blog-migration,active,
,/tf-qs2n-kontrol-karti/,exact,/blog/tf-qs2n-kontrol-karti/,301,blog-migration,active,
,/tf-qb5-kontrol-karti/,exact,/blog/tf-qb5-kontrol-karti/,301,blog-migration,active,
,/tf-qc1-kontrol-karti/,exact,/blog/tf-qc1-kontrol-karti/,301,blog-migration,active,
,/tf-qc3-kontrol-karti/,exact,/blog/tf-qc3-kontrol-karti/,301,blog-migration,active,
,/ts-802-sender-linsn/,exact,/blog/ts-802-sender-linsn/,301,blog-migration,active,
,/rv-908-receiver-linsn/,exact,/blog/rv-908-receiver-linsn/,301,blog-migration,active,
,/msd-300-nova-sender/,exact,/blog/msd-300-nova-sender/,301,blog-migration,active,
,/nova-mrv-330-receiver/,exact,/blog/nova-mrv-330-receiver/,301,blog-migration,active,
,/mctrl-300/,exact,/blog/mctrl-300/,301,blog-migration,active,
,/psd100/,exact,/blog/psd100/,301,blog-migration,active,
,/led-ekran-omru/,exact,/blog/led-ekran-omru/,301,blog-migration,active,
,/led-ekran-kullanim-alanlari/,exact,/blog/led-ekran-kullanim-alanlari/,301,blog-migration,active,
,/hd-a3-kontrol-karti/,exact,/blog/hd-a3-kontrol-karti/,301,blog-migration,active,
